INDEX,CALL ID,AGENT,DATE,DAY_OF_THE_WEEK,TIME,TOPIC,ANSWERED (Y/N),RESOLVED,SPEED OF ANSWER IN SECONDS,AVGTALKDURATION,SATISFACTION RATING
42,ID0008,Diane,2021-01-01,Friday,10:22:05,Payment related,Y,Y,22.0,0 days 00:00:38,4.0
43,ID0004,Greg,2021-01-01,Friday,09:47:31,Contract related,Y,Y,53.0,0 days 00:00:37,2.0
44,ID0038,Joe,2021-01-01,Friday,13:42:14,Technical Support,Y,Y,52.0,0 days 00:00:36,3.0
45,ID0012,Greg,2021-01-01,Friday,11:15:22,Payment related,Y,Y,50.0,0 days 00:00:32,4.0
46,ID0006,Stewart,2021-01-01,Friday,10:00:29,Technical Support,N,N, ,0 days 00:00:00, 
47,ID0011,Joe,2021-01-01,Friday,11:15:22,Payment related,N,N, ,0 days 00:00:00, 
48,ID0018,Becky,2021-01-01,Friday,11:57:07,Admin Support,N,N, ,0 days 00:00:00, 
49,ID0019,Jim,2021-01-01,Friday,12:01:26,Streaming,N,N, ,0 days 00:00:00, 
50,ID0023,Martha,2021-01-01,Friday,12:02:53,Technical Support,N,N, ,0 days 00:00:00, 
51,ID0026,Dan,2021-01-01,Friday,12:30:14,Payment related,N,N, ,0 days 00:00:00, 
52,ID0036,Diane,2021-01-01,Friday,13:42:14,Streaming,N,N, ,0 days 00:00:00, 
53,ID0046,Jim,2021-01-01,Friday,15:44:38,Contract related,N,N, ,0 days 00:00:00, 
54,ID0048,Martha,2021-01-01,Friday,17:13:55,Contract related,N,N, ,0 days 00:00:00, 
55,ID0050,Dan,2021-01-01,Friday,17:25:26,Technical Support,N,N, ,0 days 00:00:00, 
56,ID0051,Martha,2021-01-01,Friday,17:35:31,Contract related,N,N, ,0 days 00:00:00, 
57,ID0052,Jim,2021-01-01,Friday,17:35:31,Admin Support,N,N, ,0 days 00:00:00, 
58,ID0082,Greg,2021-01-02,Saturday,12:00:00,Payment related,Y,Y,52.0,0 days 00:06:56,4.0
59,ID0063,Dan,2021-01-02,Saturday,09:20:10,Streaming,Y,Y,96.0,0 days 00:06:46,1.0
60,ID0077,Martha,2021-01-02,Saturday,11:47:02,Technical Support,Y,Y,33.0,0 days 00:06:38,2.0
61,ID0099,Dan,2021-01-02,Saturday,13:20:38,Contract related,Y,Y,45.0,0 days 00:06:37,3.0
62,ID0104,Martha,2021-01-02,Saturday,13:49:26,Contract related,Y,Y,38.0,0 days 00:06:36,1.0
63,ID0065,Jim,2021-01-02,Saturday,09:38:53,Contract related,Y,Y,98.0,0 days 00:06:25,2.0
64,ID0064,Stewart,2021-01-02,Saturday,09:20:10,Streaming,Y,Y,90.0,0 days 00:06:23,3.0
65,ID0078,Dan,2021-01-02,Saturday,11:47:02,Contract related,Y,Y,51.0,0 days 00:06:22,2.0
66,ID0061,Diane,2021-01-02,Saturday,09:18:43,Streaming,Y,Y,17.0,0 days 00:06:15,3.0
67,ID0112,Diane,2021-01-02,Saturday,15:10:05,Technical Support,Y,Y,24.0,0 days 00:06:06,5.0
68,ID0113,Martha,2021-01-02,Saturday,15:36:00,Streaming,Y,Y,73.0,0 days 00:06:01,3.0
69,ID0059,Dan,2021-01-02,Saturday,09:05:46,Technical Support,Y,Y,65.0,0 days 00:06:00,5.0
70,ID0084,Dan,2021-01-02,Saturday,12:20:10,Contract related,Y,Y,68.0,0 days 00:05:59,4.0
71,ID0072,Stewart,2021-01-02,Saturday,11:08:10,Admin Support,Y,Y,113.0,0 days 00:05:51,5.0
72,ID0067,Jim,2021-01-02,Saturday,10:04:48,Contract related,Y,Y,98.0,0 days 00:05:49,5.0
73,ID0115,Jim,2021-01-02,Saturday,17:36:58,Technical Support,Y,Y,55.0,0 days 00:05:47,5.0
74,ID0091,Jim,2021-01-02,Saturday,13:03:22,Contract related,Y,Y,46.0,0 days 00:05:41,1.0
75,ID0102,Martha,2021-01-02,Saturday,13:45:07,Technical Support,Y,N,79.0,0 days 00:05:31,1.0
76,ID0118,Martha,2021-01-02,Saturday,17:47:02,Streaming,Y,Y,23.0,0 days 00:05:18,4.0
77,ID0100,Diane,2021-01-02,Saturday,13:20:38,Technical Support,Y,Y,95.0,0 days 00:05:11,1.0
78,ID0106,Becky,2021-01-02,Saturday,13:53:46,Payment related,Y,Y,65.0,0 days 00:04:57,3.0
79,ID0074,Becky,2021-01-02,Saturday,11:26:53,Contract related,Y,Y,122.0,0 days 00:04:53,1.0
80,ID0080,Dan,2021-01-02,Saturday,11:54:14,Admin Support,Y,Y,121.0,0 days 00:04:47,5.0
81,ID0069,Diane,2021-01-02,Saturday,10:33:36,Contract related,Y,Y,69.0,0 days 00:04:45,4.0
82,ID0083,Stewart,2021-01-02,Saturday,12:20:10,Admin Support,Y,Y,55.0,0 days 00:04:44,3.0
83,ID0086,Martha,2021-01-02,Saturday,12:41:46,Technical Support,Y,Y,32.0,0 days 00:04:36,3.0
84,ID0060,Dan,2021-01-02,Saturday,09:05:46,Contract related,Y,Y,50.0,0 days 00:04:26,3.0
85,ID0085,Becky,2021-01-02,Saturday,12:41:46,Technical Support,Y,Y,106.0,0 days 00:04:22,5.0
86,ID0103,Diane,2021-01-02,Saturday,13:49:26,Payment related,Y,Y,22.0,0 days 00:03:56,2.0
87,ID0096,Stewart,2021-01-02,Saturday,13:13:26,Payment related,Y,Y,113.0,0 days 00:03:54,2.0
88,ID0089,Joe,2021-01-02,Saturday,12:59:02,Technical Support,Y,Y,119.0,0 days 00:03:32,4.0
89,ID0079,Becky,2021-01-02,Saturday,11:54:14,Contract related,Y,Y,58.0,0 days 00:03:28,3.0
90,ID0105,Becky,2021-01-02,Saturday,13:53:46,Technical Support,Y,Y,112.0,0 days 00:03:25,5.0
91,ID0068,Jim,2021-01-02,Saturday,10:04:48,Contract related,Y,Y,70.0,0 days 00:03:12,5.0
92,ID0093,Jim,2021-01-02,Saturday,13:04:48,Technical Support,Y,Y,56.0,0 days 00:02:52,3.0
93,ID0110,Joe,2021-01-02,Saturday,14:52:48,Streaming,Y,Y,19.0,0 days 00:02:38,2.0
94,ID0108,Becky,2021-01-02,Saturday,14:22:34,Contract related,Y,N,55.0,0 days 00:02:32,1.0
95,ID0073,Greg,2021-01-02,Saturday,11:26:53,Payment related,Y,N,10.0,0 days 00:02:19,5.0
96,ID0071,Joe,2021-01-02,Saturday,11:08:10,Technical Support,Y,Y,120.0,0 days 00:02:11,4.0
97,ID0081,Diane,2021-01-02,Saturday,12:00:00,Admin Support,Y,Y,118.0,0 days 00:02:06,4.0
98,ID0097,Greg,2021-01-02,Saturday,13:20:38,Contract related,Y,Y,19.0,0 days 00:02:03,4.0
99,ID0075,Stewart,2021-01-02,Saturday,11:42:43,Technical Support,Y,N,125.0,0 days 00:01:38,3.0
100,ID0095,Diane,2021-01-02,Saturday,13:13:26,Streaming,Y,Y,24.0,0 days 00:01:36,3.0
101,ID0092,Stewart,2021-01-02,Saturday,13:03:22,Technical Support,Y,Y,101.0,0 days 00:01:28,3.0
102,ID0088,Martha,2021-01-02,Saturday,12:44:38,Admin Support,Y,N,45.0,0 days 00:01:26,4.0
103,ID0066,Diane,2021-01-02,Saturday,09:38:53,Technical Support,Y,N,90.0,0 days 00:01:23,4.0
104,ID0111,Becky,2021-01-02,Saturday,15:10:05,Technical Support,Y,Y,53.0,0 days 00:00:56,3.0
105,ID0094,Becky,2021-01-02,Saturday,13:04:48,Technical Support,Y,Y,80.0,0 days 00:00:53,3.0
106,ID0062,Joe,2021-01-02,Saturday,09:18:43,Technical Support,N,N, ,0 days 00:00:00, 
107,ID0070,Diane,2021-01-02,Saturday,10:33:36,Admin Support,N,N, ,0 days 00:00:00, 
108,ID0076,Diane,2021-01-02,Saturday,11:42:43,Admin Support,N,N, ,0 days 00:00:00, 
109,ID0087,Jim,2021-01-02,Saturday,12:44:38,Payment related,N,N, ,0 days 00:00:00, 
110,ID0090,Dan,2021-01-02,Saturday,12:59:02,Streaming,N,N, ,0 days 00:00:00, 
111,ID0098,Martha,2021-01-02,Saturday,13:20:38,Streaming,N,N, ,0 days 00:00:00, 
112,ID0101,Becky,2021-01-02,Saturday,13:45:07,Technical Support,N,N, ,0 days 00:00:00, 
113,ID0107,Joe,2021-01-02,Saturday,14:22:34,Streaming,N,N, ,0 days 00:00:00, 
114,ID0109,Stewart,2021-01-02,Saturday,14:52:48,Admin Support,N,N, ,0 days 00:00:00, 
115,ID0114,Stewart,2021-01-02,Saturday,15:36:00,Technical Support,N,N, ,0 days 00:00:00, 
116,ID0116,Greg,2021-01-02,Saturday,17:36:58,Payment related,N,N, ,0 days 00:00:00, 
117,ID0117,Diane,2021-01-02,Saturday,17:47:02,Streaming,N,N, ,0 days 00:00:00, 
118,ID0153,Martha,2021-01-03,Sunday,12:54:43,Payment related,Y,N,52.0,0 days 00:06:59,4.0
119,ID0139,Becky,2021-01-03,Sunday,11:16:48,Technical Support,Y,Y,43.0,0 days 00:06:20,5.0
120,ID0170,Dan,2021-01-03,Sunday,14:47:02,Streaming,Y,Y,14.0,0 days 00:06:14,4.0
121,ID0154,Joe,2021-01-03,Sunday,12:54:43,Admin Support,Y,Y,67.0,0 days 00:06:10,5.0
122,ID0151,Joe,2021-01-03,Sunday,12:33:07,Technical Support,Y,Y,124.0,0 days 00:06:03,1.0
123,ID0175,Stewart,2021-01-03,Sunday,17:31:12,Payment related,Y,N,57.0,0 days 00:06:01,2.0
124,ID0136,Greg,2021-01-03,Sunday,11:03:50,Technical Support,Y,N,105.0,0 days 00:05:59,3.0
125,ID0129,Jim,2021-01-03,Sunday,10:52:19,Contract related,Y,Y,99.0,0 days 00:05:51,3.0
126,ID0132,Diane,2021-01-03,Sunday,10:58:05,Payment related,Y,Y,113.0,0 days 00:05:40,4.0
127,ID0126,Diane,2021-01-03,Sunday,10:37:55,Payment related,Y,Y,44.0,0 days 00:05:38,4.0
128,ID0160,Becky,2021-01-03,Sunday,13:27:50,Streaming,Y,N,86.0,0 days 00:05:37,1.0
129,ID0171,Martha,2021-01-03,Sunday,15:34:34,Streaming,Y,N,25.0,0 days 00:05:32,4.0
130,ID0169,Joe,2021-01-03,Sunday,14:47:02,Streaming,Y,Y,38.0,0 days 00:05:31,4.0
131,ID0128,Becky,2021-01-03,Sunday,10:52:19,Admin Support,Y,Y,102.0,0 days 00:05:26,4.0
132,ID0176,Martha,2021-01-03,Sunday,17:31:12,Technical Support,Y,Y,119.0,0 days 00:05:19,5.0
133,ID0156,Dan,2021-01-03,Sunday,13:12:00,Admin Support,Y,Y,98.0,0 days 00:04:37,2.0
134,ID0149,Stewart,2021-01-03,Sunday,11:58:34,Admin Support,Y,Y,88.0,0 days 00:04:26,3.0
135,ID0158,Joe,2021-01-03,Sunday,13:14:53,Technical Support,Y,Y,118.0,0 days 00:04:18,3.0
136,ID0155,Martha,2021-01-03,Sunday,13:12:00,Payment related,Y,Y,119.0,0 days 00:04:16,3.0
137,ID0130,Jim,2021-01-03,Sunday,10:52:19,Admin Support,Y,Y,29.0,0 days 00:04:09,3.0
138,ID0145,Jim,2021-01-03,Sunday,11:52:48,Contract related,Y,Y,56.0,0 days 00:04:09,5.0
139,ID0122,Martha,2021-01-03,Sunday,09:47:31,Contract related,Y,Y,69.0,0 days 00:03:45,4.0
140,ID0124,Martha,2021-01-03,Sunday,10:29:17,Technical Support,Y,Y,78.0,0 days 00:03:26,5.0
141,ID0164,Joe,2021-01-03,Sunday,13:58:05,Streaming,Y,Y,88.0,0 days 00:03:23,5.0
142,ID0137,Stewart,2021-01-03,Sunday,11:06:43,Contract related,Y,N,112.0,0 days 00:03:12,5.0
143,ID0144,Diane,2021-01-03,Sunday,11:38:24,Technical Support,Y,Y,31.0,0 days 00:02:55,5.0
144,ID0127,Martha,2021-01-03,Sunday,10:52:19,Admin Support,Y,Y,35.0,0 days 00:02:46,4.0
145,ID0142,Jim,2021-01-03,Sunday,11:26:53,Contract related,Y,Y,20.0,0 days 00:02:44,4.0
146,ID0163,Dan,2021-01-03,Sunday,13:58:05,Contract related,Y,Y,113.0,0 days 00:02:38,1.0
147,ID0119,Dan,2021-01-03,Sunday,09:10:05,Payment related,Y,N,124.0,0 days 00:02:23,5.0
148,ID0143,Greg,2021-01-03,Sunday,11:38:24,Streaming,Y,Y,101.0,0 days 00:02:16,3.0
149,ID0135,Dan,2021-01-03,Sunday,11:03:50,Payment related,Y,Y,55.0,0 days 00:02:13,1.0
150,ID0161,Greg,2021-01-03,Sunday,13:35:02,Admin Support,Y,Y,104.0,0 days 00:02:09,3.0
151,ID0174,Joe,2021-01-03,Sunday,16:29:17,Payment related,Y,Y,117.0,0 days 00:02:07,4.0
152,ID0140,Joe,2021-01-03,Sunday,11:16:48,Payment related,Y,Y,20.0,0 days 00:01:44,3.0
153,ID0141,Greg,2021-01-03,Sunday,11:26:53,Technical Support,Y,Y,84.0,0 days 00:01:43,5.0
154,ID0162,Greg,2021-01-03,Sunday,13:35:02,Payment related,Y,Y,69.0,0 days 00:01:33,2.0
155,ID0147,Joe,2021-01-03,Sunday,11:55:41,Payment related,Y,Y,77.0,0 days 00:01:27,5.0
156,ID0168,Diane,2021-01-03,Sunday,14:03:50,Streaming,Y,Y,113.0,0 days 00:01:22,3.0
157,ID0159,Becky,2021-01-03,Sunday,13:27:50,Admin Support,Y,Y,123.0,0 days 00:01:15,3.0
158,ID0123,Joe,2021-01-03,Sunday,10:29:17,Streaming,Y,Y,78.0,0 days 00:01:12,3.0
159,ID0121,Dan,2021-01-03,Sunday,09:47:31,Technical Support,Y,Y,103.0,0 days 00:01:01,4.0
160,ID0131,Becky,2021-01-03,Sunday,10:58:05,Admin Support,Y,N,42.0,0 days 00:00:59,5.0
161,ID0150,Diane,2021-01-03,Sunday,11:58:34,Payment related,Y,Y,88.0,0 days 00:00:58,1.0
162,ID0167,Joe,2021-01-03,Sunday,14:03:50,Payment related,Y,Y,84.0,0 days 00:00:58,2.0
163,ID0133,Dan,2021-01-03,Sunday,11:02:24,Admin Support,Y,Y,124.0,0 days 00:00:53,2.0
164,ID0148,Jim,2021-01-03,Sunday,11:55:41,Payment related,Y,Y,46.0,0 days 00:00:50,4.0
165,ID0120,Dan,2021-01-03,Sunday,09:10:05,Contract related,N,N, ,0 days 00:00:00, 
166,ID0125,Martha,2021-01-03,Sunday,10:37:55,Technical Support,N,N, ,0 days 00:00:00, 
167,ID0134,Jim,2021-01-03,Sunday,11:02:24,Technical Support,N,N, ,0 days 00:00:00, 
168,ID0138,Martha,2021-01-03,Sunday,11:06:43,Contract related,N,N, ,0 days 00:00:00, 
169,ID0146,Joe,2021-01-03,Sunday,11:52:48,Contract related,N,N, ,0 days 00:00:00, 
170,ID0152,Stewart,2021-01-03,Sunday,12:33:07,Contract related,N,N, ,0 days 00:00:00, 
171,ID0157,Jim,2021-01-03,Sunday,13:14:53,Technical Support,N,N, ,0 days 00:00:00, 
172,ID0165,Joe,2021-01-03,Sunday,13:58:05,Streaming,N,N, ,0 days 00:00:00, 
173,ID0166,Stewart,2021-01-03,Sunday,13:58:05,Payment related,N,N, ,0 days 00:00:00, 
174,ID0172,Dan,2021-01-03,Sunday,15:34:34,Contract related,N,N, ,0 days 00:00:00, 
175,ID0173,Diane,2021-01-03,Sunday,16:29:17,Technical Support,N,N, ,0 days 00:00:00, 
176,ID0219,Stewart,2021-01-04,Monday,15:48:58,Admin Support,Y,Y,120.0,0 days 00:06:50,5.0
177,ID0193,Dan,2021-01-04,Monday,11:22:34,Payment related,Y,Y,31.0,0 days 00:06:43,2.0
178,ID0200,Joe,2021-01-04,Monday,12:15:50,Technical Support,Y,Y,103.0,0 days 00:06:40,5.0
179,ID0178,Diane,2021-01-04,Monday,09:01:26,Streaming,Y,Y,93.0,0 days 00:06:32,5.0
180,ID0191,Becky,2021-01-04,Monday,11:18:14,Contract related,Y,Y,45.0,0 days 00:06:31,5.0
181,ID0228,Jim,2021-01-04,Monday,17:35:31,Technical Support,Y,Y,110.0,0 days 00:06:30,3.0
182,ID0226,Joe,2021-01-04,Monday,16:49:26,Streaming,Y,Y,88.0,0 days 00:06:27,4.0
183,ID0189,Jim,2021-01-04,Monday,11:13:55,Admin Support,Y,Y,74.0,0 days 00:06:18,3.0
184,ID0205,Stewart,2021-01-04,Monday,13:45:07,Streaming,Y,Y,113.0,0 days 00:06:00,3.0
185,ID0213,Joe,2021-01-04,Monday,14:31:12,Payment related,Y,Y,53.0,0 days 00:05:55,4.0
186,ID0183,Martha,2021-01-04,Monday,10:03:22,Technical Support,Y,Y,106.0,0 days 00:05:42,3.0
187,ID0196,Martha,2021-01-04,Monday,11:32:38,Streaming,Y,Y,50.0,0 days 00:05:42,4.0
188,ID0197,Dan,2021-01-04,Monday,12:02:53,Technical Support,Y,Y,48.0,0 days 00:05:12,4.0
189,ID0202,Joe,2021-01-04,Monday,12:15:50,Admin Support,Y,Y,30.0,0 days 00:05:04,1.0
190,ID0212,Joe,2021-01-04,Monday,14:28:19,Payment related,Y,Y,26.0,0 days 00:04:59,3.0
191,ID0201,Becky,2021-01-04,Monday,12:15:50,Technical Support,Y,N,95.0,0 days 00:04:27,3.0
192,ID0207,Jim,2021-01-04,Monday,13:56:38,Admin Support,Y,Y,52.0,0 days 00:04:22,5.0
193,ID0185,Jim,2021-01-04,Monday,10:27:50,Streaming,Y,Y,90.0,0 days 00:04:17,3.0
194,ID0188,Diane,2021-01-04,Monday,11:09:36,Admin Support,Y,N,89.0,0 days 00:04:16,3.0
195,ID0217,Greg,2021-01-04,Monday,15:23:02,Streaming,Y,Y,56.0,0 days 00:04:16,4.0
196,ID0214,Martha,2021-01-04,Monday,14:31:12,Technical Support,Y,Y,77.0,0 days 00:04:10,2.0
197,ID0218,Stewart,2021-01-04,Monday,15:23:02,Admin Support,Y,Y,13.0,0 days 00:03:56,2.0
198,ID0210,Martha,2021-01-04,Monday,14:25:26,Streaming,Y,Y,106.0,0 days 00:03:52,3.0
199,ID0187,Becky,2021-01-04,Monday,11:09:36,Streaming,Y,N,50.0,0 days 00:03:49,4.0
200,ID0195,Joe,2021-01-04,Monday,11:32:38,Contract related,Y,Y,43.0,0 days 00:03:44,5.0
201,ID0230,Becky,2021-01-04,Monday,17:39:50,Admin Support,Y,Y,117.0,0 days 00:03:40,3.0
202,ID0221,Martha,2021-01-04,Monday,16:48:00,Payment related,Y,Y,81.0,0 days 00:03:21,4.0
203,ID0203,Greg,2021-01-04,Monday,13:32:10,Admin Support,Y,Y,124.0,0 days 00:03:19,3.0
204,ID0209,Greg,2021-01-04,Monday,14:25:26,Technical Support,Y,Y,69.0,0 days 00:03:05,3.0
205,ID0227,Stewart,2021-01-04,Monday,17:35:31,Admin Support,Y,Y,82.0,0 days 00:03:05,2.0
206,ID0215,Jim,2021-01-04,Monday,14:49:55,Contract related,Y,Y,45.0,0 days 00:03:02,3.0
207,ID0181,Dan,2021-01-04,Monday,09:43:12,Contract related,Y,Y,92.0,0 days 00:02:59,3.0
208,ID0184,Stewart,2021-01-04,Monday,10:03:22,Technical Support,Y,Y,67.0,0 days 00:02:44,3.0
209,ID0198,Martha,2021-01-04,Monday,12:02:53,Admin Support,Y,Y,113.0,0 days 00:02:44,5.0
210,ID0208,Dan,2021-01-04,Monday,13:56:38,Admin Support,Y,Y,28.0,0 days 00:02:44,5.0
211,ID0225,Martha,2021-01-04,Monday,16:49:26,Technical Support,Y,Y,77.0,0 days 00:02:42,4.0
212,ID0206,Jim,2021-01-04,Monday,13:45:07,Technical Support,Y,Y,25.0,0 days 00:02:27,5.0
213,ID0190,Martha,2021-01-04,Monday,11:13:55,Payment related,Y,Y,63.0,0 days 00:02:22,2.0
214,ID0204,Diane,2021-01-04,Monday,13:32:10,Admin Support,Y,Y,17.0,0 days 00:02:03,5.0
215,ID0224,Stewart,2021-01-04,Monday,16:49:26,Payment related,Y,Y,75.0,0 days 00:01:33,4.0
216,ID0229,Martha,2021-01-04,Monday,17:39:50,Admin Support,Y,N,70.0,0 days 00:01:32,3.0
217,ID0179,Martha,2021-01-04,Monday,09:31:41,Payment related,Y,Y,86.0,0 days 00:01:04,4.0
218,ID0220,Diane,2021-01-04,Monday,15:48:58,Payment related,Y,Y,22.0,0 days 00:00:50,1.0
219,ID0223,Martha,2021-01-04,Monday,16:49:26,Contract related,Y,Y,71.0,0 days 00:00:48,2.0
220,ID0177,Martha,2021-01-04,Monday,09:01:26,Contract related,N,N, ,0 days 00:00:00, 
221,ID0180,Joe,2021-01-04,Monday,09:31:41,Streaming,N,N, ,0 days 00:00:00, 
222,ID0182,Greg,2021-01-04,Monday,09:43:12,Streaming,N,N, ,0 days 00:00:00, 
223,ID0186,Diane,2021-01-04,Monday,10:27:50,Technical Support,N,N, ,0 days 00:00:00, 
224,ID0192,Martha,2021-01-04,Monday,11:18:14,Technical Support,N,N, ,0 days 00:00:00, 
225,ID0194,Joe,2021-01-04,Monday,11:22:34,Streaming,N,N, ,0 days 00:00:00, 
226,ID0199,Jim,2021-01-04,Monday,12:15:50,Streaming,N,N, ,0 days 00:00:00, 
227,ID0211,Jim,2021-01-04,Monday,14:28:19,Technical Support,N,N, ,0 days 00:00:00, 
228,ID0216,Becky,2021-01-04,Monday,14:49:55,Technical Support,N,N, ,0 days 00:00:00, 
229,ID0222,Jim,2021-01-04,Monday,16:48:00,Streaming,N,N, ,0 days 00:00:00, 
230,ID0264,Diane,2021-01-05,Tuesday,15:31:41,Streaming,Y,Y,72.0,0 days 00:06:48,3.0
231,ID0282,Joe,2021-01-05,Tuesday,17:38:24,Streaming,Y,Y,65.0,0 days 00:06:46,1.0
232,ID0249,Becky,2021-01-05,Tuesday,12:00:00,Streaming,Y,Y,32.0,0 days 00:06:29,4.0
233,ID0266,Joe,2021-01-05,Tuesday,15:31:41,Payment related,Y,Y,98.0,0 days 00:06:22,5.0
234,ID0271,Dan,2021-01-05,Tuesday,16:06:14,Streaming,Y,Y,113.0,0 days 00:06:22,3.0
235,ID0239,Greg,2021-01-05,Tuesday,10:49:26,Contract related,Y,Y,106.0,0 days 00:06:19,3.0
236,ID0276,Diane,2021-01-05,Tuesday,16:27:50,Contract related,Y,Y,59.0,0 days 00:06:04,2.0
237,ID0252,Greg,2021-01-05,Tuesday,12:12:58,Streaming,Y,Y,62.0,0 days 00:06:02,5.0
238,ID0261,Diane,2021-01-05,Tuesday,15:20:10,Contract related,Y,Y,47.0,0 days 00:06:02,4.0
239,ID0260,Becky,2021-01-05,Tuesday,15:18:43,Admin Support,Y,Y,44.0,0 days 00:05:53,3.0
240,ID0256,Joe,2021-01-05,Tuesday,13:59:31,Technical Support,Y,Y,96.0,0 days 00:05:46,4.0
241,ID0273,Martha,2021-01-05,Tuesday,16:16:19,Admin Support,Y,N,94.0,0 days 00:05:29,5.0
